name,core_count,thread_count,base_clock,boost_clock,tdp,l1_cache,l2_cache,l3_cache,socket,memory_support,integrated_gpu
Intel Core i5-13600K,14,20,3.5,5.1,125,1120,28,24,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i5-13600KF,14,20,3.5,5.1,125,1120,28,24,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-14400,10,16,2.5,4.7,65,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 730
Intel Core i5-14400F,10,16,2.5,4.7,65,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-14500,14,20,2.6,5,65,1120,17.5,24,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i5-14600,,,,,,,,,,,
Intel Core i5-14600K,14,20,3.5,5.3,125,1120,28,24,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i5-14600KF,14,20,3.5,5.3,125,1120,28,24,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-10700,8,16,2.9,4.8,65,512,2,16,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i7-10700F,8,16,2.9,4.8,65,512,2,16,Intel Socket 1200,DDR4,
Intel Core i7-11700,8,16,2.5,4.9,65,640,4,16,Intel Socket 1200,DDR4,UHD Graphics 750
Intel Core i7-11700F,8,16,2.5,4.9,65,640,4,16,Intel Socket 1200,DDR4,
Intel Core i7-11700K,8,16,3.6,5,125,640,4,16,Intel Socket 1200,DDR4,UHD Graphics 750
Intel Core i7-12700,12,20,2.1,4.9,65,960,15,25,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-12700F,12,20,2.1,4.9,65,960,15,25,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-12700K,12,20,3.6,5,125,960,15,25,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-12700KF,12,20,3.6,5,125,960,15,25,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-13700,16,24,2.1,5.2,65,1280,32,30,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-13700F,16,24,2.1,5.2,65,1280,32,30,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-13700K,16,24,3.4,5.4,125,1280,32,30,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-13700KF,16,24,3.4,5.4,125,1280,32,30,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-14700,20,28,2.1,5.4,65,1600,40,33,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-14700F,20,28,2.1,5.4,65,1600,40,33,Intel Socket 1700,"DDR4, DDR5",
Intel Core i7-14700K,20,28,3.4,5.6,125,1600,40,33,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i7-14700KF,20,28,3.4,5.6,125,1600,40,33,Intel Socket 1700,"DDR4, DDR5",
Intel Core i9-10900,10,20,2.8,5.2,65,640,2.5,20,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i9-10900F,10,20,2.8,5.2,65,640,2.5,20,Intel Socket 1200,DDR4,
Intel Core i9-10900KF,10,20,3.7,5.3,125,640,2.5,20,Intel Socket 1200,DDR4,
Intel Core i9-11900,,,,,,,,,,,
Intel Core i9-11900K,8,16,3.5,5.3,125,640,4,16,Intel Socket 1200,DDR4,UHD Graphics 750
Intel Core i9-12900F,16,24,2.4,5.1,65,1280,20,30,Intel Socket 1700,"DDR4, DDR5",
Intel Core i9-12900K,16,24,3.2,5.2,125,1280,20,30,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i9-12900KF,16,24,3.2,5.2,125,1280,20,30,Intel Socket 1700,"DDR4, DDR5",
Intel Core i9-13900F,24,32,2,5.6,65,1920,48,36,Intel Socket 1700,"DDR4, DDR5",
Intel Core i9-13900K,24,32,3,5.8,125,1920,48,36,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i9-13900KF,24,32,3,5.8,125,1920,48,36,Intel Socket 1700,"DDR4, DDR5",
Intel Core i9-14900,24,32,2,5.8,65,1920,48,36,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
