name,memory_size,transistors,bus_interface,base_clock,boost_clock,memory_type,memory_bus,memory_bandwidth,cores,tensor_cores,rt_cores,t_flops,tdp
NVIDIA Quadro P2000,5,,,,,,,,,,,,
NVIDIA Quadro P2200,5,,,,,,,,,,,,
NVIDIA Quadro P4000,8,,,,,,,,,,,,
NVIDIA Quadro P5000,16,,,,,,,,,,,,
NVIDIA Quadro P6000,24,,,,,,,,,,,,
,,,,,,,,,,,,,
AMD Radeon 530,2,,,,,,,,,,,,
AMD Radeon 530,4,,,,,,,,,,,,
AMD Radeon 610M,,,,,,,,,,,,,
AMD Radeon 660M,,,,,,,,,,,,,
AMD Radeon 680M,,,,,,,,,,,,,
AMD Radeon 740M,,,,,,,,,,,,,
AMD Radeon 760M,,,,,,,,,,,,,
AMD Radeon 840M,,,,,,,,,,,,,
AMD Radeon 860M,,,,,,,,,,,,,
AMD Radeon 880M,,,,,,,,,,,,,
AMD Radeon Vega,,,,,,,,,,,,,
AMD FirePro D300,2,,,,,,,,,,,,
